"INDEX","Convertible Bonds Arbitrage","CTA Long Term","CTA Short Term","Event Driven - Distressed","Event Driven - Merger Arbitrage","Event Driven - Special Situations","Fixed Income Arbitrage","Global Macro","L/S Credit Arbitrage","L/S Equity - Long Bias","L/S Equity - Market Neutral","L/S Equity - Short Bias","L/S Equity - Variable Bias","Statistical Arbitrage","COMPOSITE","Emerging Markets","Top 10","Credit Strategies"
09/13/2005,1133.74420891494,1476.00760749746,1068.95339326864,1040.45096495568,1196.87345134515,1448.37533684629,1170.09922751429,1100.43832688905,1087.62001686407,1271.372464906,1187.44089635751,826.452030505233,1324.73134921735,1169.84785147632,1266.08507927951,1018.27289379867,1308.79162539166,1261.68292217959
09/20/2005,1139.42427052989,1500.48213490253,1073.68774346024,1033.98671197414,1192.81467788849,1455.39670735404,1173.4895111994,1109.79705327654,1092.14758415851,1262.86067762628,1194.23023557682,836.317314156854,1331.31779685155,1177.83510384811,1271.13165718002,1021.53000156144,1312.21485116747,1263.8612885425
09/27/2005,1141.60463920406,1497.58322131743,1075.82783865727,1033.29449975835,1191.63555363562,1454.29535830103,1173.81347244715,1112.82170723368,1095.20595305586,1261.24778317361,1197.13128042635,839.753907153605,1329.57811430087,1187.0812123119,1271.05289481218,1022.34103398844,1311.83785503551,1265.14960717947
10/04/2005,1145.26887318757,1528.27190173146,1090.95374161271,1030.09299021311,1191.79115591689,1460.10074336505,1173.12032623914,1122.56721679226,1102.52003399628,1263.64203392377,1202.96974388018,843.55624983731,1338.87844062581,1188.78984088019,1277.82201926267,1026.09869626506,1314.71744881049,1267.70034077621
10/11/2005,1144.70730142066,1495.94354582698,1092.00379619595,1026.92133626615,1188.84619573276,1431.77863663489,1173.08564416739,1121.65910112721,1097.29537205217,1245.38800382177,1207.2931813901,867.850035082539,1324.98604624231,1182.75679161446,1264.02084600716,1019.4009380575,1293.55801265853,1267.16920714622
10/18/2005,1143.53040246708,1493.36988993223,1095.13470239333,1024.53268627359,1178.19646043101,1402.138942028,1171.19171337848,1119.96452612007,1091.97555208925,1230.55895546281,1203.5975552238,873.130368076297,1305.80900835896,1173.5952802774,1251.97604083127,1009.88286700913,1270.95944081052,1265.28880876719
10/25/2005,1140.39834552285,1481.74841150015,1092.66790769391,1029.54541379171,1185.07538783553,1404.35533441045,1174.04314369323,1119.2382181001,1095.47273378074,1238.6110230659,1206.53668333732,860.890242055614,1308.35289774954,1172.80880723969,1253.67259525746,1009.60570868087,1278.14140314059,1268.28166094155
11/01/2005,1146.28807917878,1505.17405450387,1110.69238190464,1028.89418279854,1186.69862035326,1394.02134878484,1172.29353557819,1121.71232179617,1098.49017273183,1246.59414553629,1212.01082747533,857.60221283094,1321.67122864803,1183.25234643365,1259.89488987474,1010.43176905911,1276.64413504945,1267.32536435742
11/08/2005,1143.20029879915,1524.5829909732,1119.5368614992,1029.23074617431,1175.26694708034,1399.89352437201,1169.8992053149,1127.79175071373,1099.94912461739,1259.88774706379,1214.37991814566,844.956336792774,1327.98068794686,1177.59595113814,1264.69430254738,1013.53574391115,1281.97859059728,1264.89275518197
11/15/2005,1139.82092555377,1560.8290264352,1124.98520069594,1032.37949040928,1180.4504342127,1396.62312997437,1167.45480011644,1123.90945158693,1099.39068655344,1262.41648291447,1211.90831549775,839.061411033562,1326.3401895032,1172.74001767339,1265.86323737298,1014.80462102152,1281.45719426532,1262.93632702115
