Name,BOFA ML EMU CORP. (E) - RED. YIELD,BOFA ML US CORP BBB-A ($) - RED. YIELD,ITRAXX CROSSOVER 5YR (EOD) SR15 - CDS PREM. BID,BOFA ML EUROPEAN CUR HY (E) - RED. YIELD,BOFA ML US HY MASTER II ($) - RED. YIELD,JPM EMBI+ COMPOSITE - BLENDED YIELD MAT
5/31/2006,4.21,6.16,,7.147,8.45,7.313
6/7/2006,4.26,6.1,,7.116,8.46,7.229
6/14/2006,4.17,6.16,,7.094,8.59,7.333
6/21/2006,4.31,6.27,,7.188,8.7,7.412
6/28/2006,4.41,6.37,,7.381,8.77,7.569
7/5/2006,4.46,6.35,,7.198,8.69,7.398
7/12/2006,4.43,6.24,,7.2,8.64,7.236
7/19/2006,4.33,6.2,,7.188,8.68,7.165
7/26/2006,4.33,6.17,,7.152,8.61,7.039
8/2/2006,4.3,6.08,,7.14,8.56,6.96
8/9/2006,4.31,6.06,,7.062,8.51,6.83
8/16/2006,4.32,6,,7.003,8.48,6.749
8/23/2006,4.21,5.96,,6.988,8.47,6.776
8/30/2006,4.21,5.92,,6.935,8.41,6.751
9/6/2006,4.26,5.94,,6.978,8.41,6.738
9/13/2006,4.25,5.9,,6.996,8.37,6.752
9/20/2006,4.25,5.87,,7.019,8.36,6.761
9/27/2006,4.15,5.75,,6.993,8.32,6.731
10/4/2006,4.19,5.72,,6.987,8.26,6.714
10/11/2006,4.28,5.93,,6.954,8.28,6.759
10/18/2006,4.28,5.9,,6.842,8.22,6.671
10/25/2006,4.34,5.91,,6.818,8.24,6.665
11/1/2006,4.19,5.68,,6.778,8.13,6.559
11/8/2006,4.26,5.74,,6.698,8.07,6.562
11/15/2006,4.24,5.73,,6.634,7.99,6.534
11/22/2006,4.2,5.68,,6.601,8.02,6.546
11/29/2006,4.21,5.64,,6.65,7.99,6.545
12/6/2006,4.19,5.58,,6.618,7.86,6.446
12/13/2006,4.28,5.67,,6.597,7.89,6.418
12/20/2006,4.36,5.69,,6.612,7.88,6.393
12/27/2006,4.42,5.75,,6.63,7.85,6.422
1/3/2007,4.43,5.76,,6.705,7.89,6.402
