Data,FI,EQ
2010-01-18,113.83,78.16
2010-01-19,113.81,78.46
2010-01-20,113.82,77.97
2010-01-21,113.83,77.69
2010-01-22,113.84,76.98
2010-01-25,113.84,76.98
2010-01-26,113.85,76.99
2010-01-27,113.9,76.69
2010-01-28,113.82,76.41
2010-01-29,113.81,76.35
2010-02-01,113.83,76.85
2010-02-02,113.83,77.34
2010-02-03,113.82,77.24
2010-02-04,113.87,75.77
2010-02-05,113.95,75.17
2010-02-08,113.94,75.39
2010-02-09,113.92,75.39
2010-02-10,113.9,75.56
2010-02-11,113.87,75.84
2010-02-12,113.94,75.85
2010-02-15,113.97,75.95
2010-02-16,113.97,76.38
2010-02-17,113.98,76.96
2010-02-18,113.99,77.27
2010-02-19,113.96,77.4
2010-02-22,114,77.31
2010-02-23,114,77.31
2010-02-24,114.08,76.94
2010-02-25,114.13,76.57
2010-02-26,114.13,76.9
2010-03-01,114.13,76.9
2010-03-02,114.27,77.78
2010-03-03,114.16,77.98
2010-03-04,114.17,77.97
2010-03-05,114.16,78.61
2010-03-08,114.16,78.67
2010-03-09,114.22,78.84
2010-03-10,114.19,78.96
2010-03-11,114.16,78.89
2010-03-12,114.15,78.78
2010-03-15,114.17,78.44
2010-03-16,114.2,78.74
2010-03-17,114.23,79.16
2010-03-18,114.24,78.9
2010-03-19,114.23,78.62
2010-03-22,114.27,78.35
2010-03-23,114.27,78.35
2010-03-24,114.29,78.44
2010-03-25,114.28,78.83
2010-03-26,114.26,78.61
2010-03-29,114.31,78.85
2010-03-30,114.29,78.96
2010-03-31,114.32,78.85
2010-04-01,114.34,79.15
2010-04-02,114.34,79.15
2010-04-05,114.34,79.15
2010-04-06,114.31,79.78
2010-04-07,114.35,79.69
2010-04-08,114.38,79.33
2010-04-09,114.34,79.99
2010-04-12,114.32,80.02
2010-04-13,114.35,79.8
2010-04-14,114.37,80.05
2010-04-15,114.38,80.2
2010-04-16,114.43,79.66
2010-04-19,114.48,79.42
2010-04-20,114.46,79.85
2010-04-21,114.45,79.72
2010-04-22,114.46,79.22
2010-04-23,114.43,79.37
2010-04-26,114.45,79.71
2010-04-27,114.5,78.8
2010-04-28,114.49,78.14
2010-04-29,114.47,78.64
2010-04-30,114.47,78.33
2010-05-03,114.48,78.37
2010-05-04,114.5,77.46
2010-05-05,114.54,76.94
2010-05-06,114.58,75.8
2010-05-07,114.52,74.65
2010-05-10,114.5,77.16
2010-05-11,114.52,76.76
2010-05-12,114.52,77.29
2010-05-13,114.52,77.29
2010-05-14,114.56,76.23
2010-05-17,114.54,76.03
2010-05-18,114.51,76.43
2010-05-19,114.53,76.17
2010-05-20,114.52,75.43
2010-05-21,114.5,75.35
2010-05-24,114.5,75.35
2010-05-25,114.5,73.97
2010-05-26,114.49,74.3
2010-05-27,114.48,75.73
2010-05-28,114.48,75.79
2010-05-31,114.51,75.56
2010-06-01,114.5,75.49
2010-06-02,114.57,75.7
2010-06-03,114.48,76.07
2010-06-04,114.48,76.07
2010-06-07,114.55,74.49
2010-06-08,114.57,73.92
2010-06-09,114.57,74.26
2010-06-10,114.54,74.92
2010-06-11,114.57,75.39
2010-06-14,114.58,75.92
2010-06-15,114.56,76.25
2010-06-16,114.56,76.3
2010-06-17,114.56,75.94
2010-06-18,114.51,75.85
2010-06-21,114.58,76.26
2010-06-22,114.58,76.26
2010-06-23,114.58,76.26
2010-06-24,114.55,74.51
2010-06-25,114.54,74.01
2010-06-28,114.55,73.95
2010-06-29,114.59,72.67
2010-06-30,114.56,72.49
2010-07-01,114.5,71.27
2010-07-02,114.5,71.53
2010-07-05,114.54,70.96
2010-07-06,114.52,72.19
2010-07-07,114.59,72.66
2010-07-08,114.49,73.19
2010-07-09,114.5,73.66
2010-07-12,114.58,73.98
2010-07-13,114.58,74.63
2010-07-14,114.54,75.07
2010-07-15,114.53,74.57
2010-07-16,114.53,73.59
2010-07-19,114.53,73.39
2010-07-20,114.55,72.78
2010-07-21,114.59,72.75
2010-07-22,114.62,73.64
2010-07-23,114.6,73.93
2010-07-26,114.56,74.14
2010-07-27,114.52,75.18
2010-07-28,114.52,75.03
2010-07-29,114.55,74.34
2010-07-30,114.59,74.28
2010-08-02,114.62,75.62
2010-08-03,114.65,75.84
2010-08-04,114.66,76.11
2010-08-05,114.65,75.83
2010-08-06,114.65,75.23
2010-08-09,114.68,75.97
2010-08-10,114.7,75.95
2010-08-11,114.7,75.95
2010-08-12,114.78,73.93
2010-08-13,114.81,73.9
2010-08-16,114.84,73.6
2010-08-17,114.83,74.36
2010-08-18,114.81,74.34
2010-08-19,114.81,73.37
2010-08-20,114.84,72.51
2010-08-23,114.88,72.61
2010-08-24,114.89,71.84
2010-08-25,114.89,71.36
2010-08-26,114.88,71.59
